filepath,filename,Image DateTime,EXIF DateTimeOriginal,EXIF DateTimeDigitized,Date Taken
851566-R1-040-18A.jpg,851566-R1-040-18A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-042-19A.jpg,851566-R1-042-19A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-044-20A.jpg,851566-R1-044-20A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-046-21A.jpg,851566-R1-046-21A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-048-22A.jpg,851566-R1-048-22A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-050-23A.jpg,851566-R1-050-23A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-052-24A.jpg,851566-R1-052-24A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-054-25A.jpg,851566-R1-054-25A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
IMG_1362.JPG,IMG_1362.JPG,2006:08:13 14:32:17,2006:08:13 14:32:17,2006:08:13 14:32:17,2006-08-13 14:32:17
IMG_1363.JPG,IMG_1363.JPG,2006:08:13 14:32:51,2006:08:13 14:32:51,2006:08:13 14:32:51,2006-08-13 14:32:51
IMG_1364.JPG,IMG_1364.JPG,2006:08:13 14:34:13,2006:08:13 14:34:13,2006:08:13 14:34:13,2006-08-13 14:34:13
IMG_1365.JPG,IMG_1365.JPG,2006:08:13 14:34:27,2006:08:13 14:34:27,2006:08:13 14:34:27,2006-08-13 14:34:27
IMG_1366.JPG,IMG_1366.JPG,2006:08:13 14:34:31,2006:08:13 14:34:31,2006:08:13 14:34:31,2006-08-13 14:34:31
IMG_1367.JPG,IMG_1367.JPG,2006:08:13 14:34:34,2006:08:13 14:34:34,2006:08:13 14:34:34,2006-08-13 14:34:34
IMG_1368.JPG,IMG_1368.JPG,2006:08:13 14:34:46,2006:08:13 14:34:46,2006:08:13 14:34:46,2006-08-13 14:34:46
IMG_1369.JPG,IMG_1369.JPG,2006:08:13 14:34:48,2006:08:13 14:34:48,2006:08:13 14:34:48,2006-08-13 14:34:48
IMG_1370.JPG,IMG_1370.JPG,2006:08:13 14:34:51,2006:08:13 14:34:51,2006:08:13 14:34:51,2006-08-13 14:34:51
IMG_1371.JPG,IMG_1371.JPG,2006:08:13 14:34:54,2006:08:13 14:34:54,2006:08:13 14:34:54,2006-08-13 14:34:54
IMG_1372.JPG,IMG_1372.JPG,2006:08:13 14:34:57,2006:08:13 14:34:57,2006:08:13 14:34:57,2006-08-13 14:34:57
IMG_1373.JPG,IMG_1373.JPG,2006:08:13 14:35:03,2006:08:13 14:35:03,2006:08:13 14:35:03,2006-08-13 14:35:03
IMG_1374.JPG,IMG_1374.JPG,2006:08:13 14:35:06,2006:08:13 14:35:06,2006:08:13 14:35:06,2006-08-13 14:35:06
IMG_1375.JPG,IMG_1375.JPG,2006:08:13 14:35:09,2006:08:13 14:35:09,2006:08:13 14:35:09,2006-08-13 14:35:09
